id,title,group,row_type,one_liner,context
95,Operations Manual,A,project,"Manual operativo que fija reglas, modos y cierres para trabajar con mayor gobernanza y continuidad.","Este proyecto es el manual de operaciones que describe reglas, modos de trabajo, cierres, handoffs y criterios operativos para sostener ejecución con menor deriva. Existe para convertir buenas prácticas tácitas en una superficie explícita que pueda orientar tanto trabajo propio como trabajo asistido por agentes. Sigue activo porque cumple una función transversal de gobernanza sobre muchos otros proyectos y frentes. El progreso real consiste en volver el manual más claro, más aplicado a casos reales y más útil como guía operativa cotidiana."
B,Job Search,,group,"Frente de proyectos dedicado a explorar oportunidades, sostener procesos de búsqueda y escalar seguimiento laboral.","Este grupo reúne sistemas y prácticas ligados a tu búsqueda laboral, tanto en su capa humana y operativa como en su capa de automatización asistida. Existe para transformar la búsqueda de trabajo en un proceso gobernable, con seguimiento, herramientas y estructura, en lugar de una sucesión de aplicaciones aisladas. Sigue activo porque conseguir oportunidades de calidad requiere continuidad, organización y reducción de trabajo manual repetitivo. El progreso real en este grupo se ve cuando mejora la cobertura de oportunidades, el seguimiento de procesos y la calidad de las decisiones y acciones ligadas a postulaciones."
61,Job Search Management (Coderhub),B,project,"Trabajo operativo con consultora para gestionar búsqueda laboral, procesos y oportunidades concretas.","Este proyecto representa la capa humana y operativa de tu búsqueda laboral mediada por una consultora, con foco en seguimiento de oportunidades, preparación de materiales, coordinación de procesos y gestión táctica de postulaciones. Existe para ordenar la relación con ese canal concreto de inserción laboral y convertirlo en un frente activo con trazabilidad y criterio de acción. Sigue vigente porque una parte del avance laboral depende de sostener bien este canal y capitalizar oportunidades reales. El progreso real se ve cuando hay mejor seguimiento de procesos, materiales más alineados, decisiones más rápidas y más movimiento concreto sobre oportunidades."
71,AI Job Pipeline,B,project,"Monorepo de herramientas para escalar exploración, seguimiento y gestión de postulaciones laborales.","Este proyecto es un monorepo que agrupa herramientas destinadas a automatizar o asistir a escala el trabajo de explorar oportunidades, registrar vacantes, seguir aplicaciones y sostener procesos de búsqueda laboral. Su motivación es descargar carga operativa repetitiva y convertir la búsqueda de empleo en un pipeline más sistemático, modular y eventualmente separable en componentes más especializados. Sigue activo porque puede amplificar mucho tu capacidad de cobertura y seguimiento sin exigir expansión equivalente de esfuerzo manual. El progreso real consiste en modularizar mejor las herramientas, estabilizar flujos útiles y lograr que el sistema produzca ahorro real de tiempo y mejor control sobre procesos laborales."
C,Intelligence and Opportunities,,group,"Frente de proyectos orientado a recolectar, estructurar y explotar señales externas para inteligencia operativa y detección de oportunidades.","Este grupo reúne proyectos que transforman fuentes externas, documentos, medios, mensajes y sitios en señales utilizables para monitoreo, análisis y acción. Su propósito es ampliar tu capacidad de observación y convertir flujos dispersos de información en datasets, resúmenes, alertas o superficies consultables que ayuden a decidir mejor. Sigue activo porque conecta automatización con lectura estratégica del entorno y porque varias de estas fuentes alimentan otros frentes de trabajo. El progreso real en este grupo se ve cuando las fuentes se vuelven más gobernables, los outputs más accionables y la inteligencia producida reduce trabajo manual y mejora la calidad del seguimiento."
16,Summarizer Service,C,project,"Servicio de transformación que convierte eventos, textos o sesiones en resúmenes estructurados reutilizables.","Este proyecto define una capa de servicio para pedir, ejecutar y devolver resúmenes de manera más estable que un uso ad hoc del modelo. Existe para separar la capacidad de resumir del resto de los sistemas, con contratos claros de input y output, integración con buses o flujos de procesamiento y una superficie reutilizable para distintos casos de uso. Sigue activo porque el resumen es una primitiva transversal de tu ecosistema de conocimiento y automatización. El progreso real se ve cuando el servicio tiene mejores contratos, menos fricción de integración y produce salidas más consistentes y útiles para downstream."
17,Media Monitor Monorepo,C,project,"Monorepo de monitoreo de medios que combina ingesta de noticias, frontend publicado y posibles derivados de producto o distribución.","Este proyecto es un monorepo de media monitoring con varias capas: una de ingesta para recolectar noticias, otra de frontend donde se muestran las últimas noticias y una posible línea futura de derivación comercial o distributiva. En su estado actual, el sistema ya funciona y está online como portal utilizable. Sigue activo porque ya entrega valor como superficie viva y además podría abrir dos caminos futuros: por un lado, convertirse en un portal de noticias propio; por otro, empaquetarse parcial o totalmente para que terceros lo usen. El progreso real se ve cuando mejora la robustez de ingesta, la utilidad del frontend y la claridad sobre cuál de esos caminos de producto o distribución conviene empujar."
58,"Institutional Monitoring (MSEG, Norms, Legs)",C,project,"Sistema de monitoreo institucional para seguir normas, sitios oficiales y señales relevantes del entorno público.","Este proyecto reúne pipelines y rutinas para observar fuentes institucionales, como ministerios, normas y cuerpos legislativos, con el objetivo de detectar novedades, cambios y documentos relevantes de manera sistemática. Existe para reemplazar seguimiento manual disperso por una capa de monitoreo más confiable, repetible y conectable con alertas o bases de conocimiento. Sigue activo porque puede producir inteligencia útil para trabajo técnico, institucional o estratégico y porque varias de esas fuentes cambian con frecuencia. El progreso real se ve cuando las fuentes están bien cubiertas, la detección de novedades funciona con bajo ruido y los resultados se vuelven fáciles de revisar y reutilizar."
35,Research Opportunity Crawler,C,project,"Pipeline para rastrear instituciones y oportunidades de investigación, colaboración o postdoctorado.","Este proyecto busca automatizar parte del trabajo de explorar centros, labs, instituciones y convocatorias para detectar oportunidades compatibles con tu perfil. Su motivación es convertir una búsqueda internacional compleja y costosa en un proceso más sistemático de crawling, clasificación y priorización, apoyado en estructuras reutilizables. Sigue activo porque la exploración de oportunidades requiere cobertura amplia, criterio y constancia, y porque una buena base de inteligencia reduce mucho trabajo manual posterior. El progreso real consiste en ampliar fuentes cubiertas, mejorar scoring o clasificación y producir salidas que sirvan realmente para decidir a qué oportunidades volver."
20,Price Intelligence: Precios Argentina (scrape) + Merc Lib scraper,C,project,Conjunto de scrapers para captar precios y señales de mercado desde fuentes web y Mercado Libre.,"Este proyecto reúne herramientas para recolectar datos de precios desde sitios web y plataformas como Mercado Libre, con el fin de construir una base de inteligencia sobre productos, mercados o referencias económicas. Existe para pasar de consultas manuales aisladas a un sistema de captura y análisis más estructurado de precios observables. Sigue activo porque puede servir tanto para análisis puntual como para alimentar comparaciones, series o decisiones más sistemáticas. El progreso real se ve cuando el scraping se vuelve más robusto, las salidas quedan mejor normalizadas y la información recolectada resulta más fácil de explotar downstream."
23,Financial Document Parser,C,project,Parser de documentos financieros para extraer datos útiles desde archivos heterogéneos y llevarlos a estructuras limpias.,"Este proyecto apunta a convertir documentos financieros, comprobantes o reportes en datos estructurados que puedan integrarse con pipelines contables o analíticos. Su motivación es reducir el trabajo manual de lectura y transcripción, y crear una capa reutilizable de extracción sobre documentos que suelen venir en formatos desordenados. Sigue activo porque la calidad del downstream contable y analítico depende en parte de una buena extracción inicial. El progreso real consiste en ampliar cobertura de formatos, mejorar precisión de parsing y entregar outputs más limpios y confiables para validación o integración."
57.1,Social & Messaging Data Lake (IG/WhatsApp/Email),C,project,Base unificada para almacenar y explotar datos de mensajería y comunicación personal o profesional.,"Este proyecto busca consolidar datos provenientes de Instagram, WhatsApp, email y otras superficies de comunicación en una estructura más unificada y explotable. Existe para que esos intercambios no queden solo como historiales aislados, sino como una materia prima que puede servir para memoria, CRM, análisis, búsqueda o automatización. Sigue activo porque gran parte de tu contexto relacional y operativo pasa por canales de mensajería y porque integrarlos abre muchas capacidades downstream. El progreso real se ve cuando la ingesta se vuelve más estable, los datos quedan mejor normalizados y la base resultante habilita consultas o flujos útiles sin excesiva fragilidad."
D,FCEN / LCD / institucional,,group,"Frente de proyectos orientado a inteligencia, memoria y superficies operativas para trabajo institucional en FCEN y la Licenciatura en Ciencias de Datos.","Este grupo reúne proyectos ligados a tu trabajo institucional en FCEN y en la Licenciatura en Ciencias de Datos, incluyendo identidad política, inteligencia sobre personas, bases de conocimiento, publicación de materiales y seguimiento de comisiones. Su propósito es transformar trabajo institucional complejo y disperso en superficies más consultables, accionables y sostenibles. Sigue activo porque concentra un frente estratégico de incidencia, coordinación y memoria organizativa. El progreso real en este grupo se ve cuando la información institucional está mejor estructurada, las superficies son más útiles para actuar y el seguimiento requiere menos reconstrucción manual."
26.2,fcen_identity,D,project,Índice no duplicado de personas de Exactas construido a partir de múltiples fuentes.,"Este proyecto construye un índice de personas de la Facultad de Ciencias Exactas y Naturales a partir de información reunida desde distintas fuentes, resolviendo duplicados y dejando una fila única por persona. Existe para dar una base canónica y operativa sobre la población humana del frente FCEN, en vez de trabajar con registros dispersos, repetidos o inconsistentes. Sigue activo porque esa base sirve como infraestructura para trabajo institucional, inteligencia de personas y distintas superficies downstream. El progreso real consiste en mejorar cobertura de fuentes, deduplicación, calidad de los registros y utilidad práctica del índice resultante."
26.3,people_intel,D,project,Capa de inteligencia sobre personas para enriquecer lectura política e institucional dentro de FCEN.,"Este proyecto se centra en construir y explotar información relevante sobre personas, perfiles, vínculos o señales útiles para el trabajo institucional y político en FCEN. Existe para complementar bases más estructurales con una capa de inteligencia humana que ayude a interpretar actores, priorizar contactos y entender mejor el terreno relacional. Sigue activo porque muchas decisiones institucionales dependen de leer bien personas y no solo estructuras formales. El progreso real se ve cuando la información es más precisa, más accionable y más fácil de consultar para apoyar movimientos concretos."
26.4,lcd_kb_pipeline + lcd_page_surface,D,project,Pipeline y superficie pública o interna para materializar una base de conocimiento sobre la Licenciatura en Ciencias de Datos.,"Este proyecto combina una capa de procesamiento de contenidos y una superficie navegable para organizar, publicar y consultar información relevante sobre la Licenciatura en Ciencias de Datos. Su motivación es convertir materiales institucionales, documentos, notas o decisiones en una base de conocimiento más estable y una página útil para consulta o memoria. Sigue activo porque ayuda a sostener continuidad institucional y a reducir pérdida de contexto en discusiones o seguimientos del área. El progreso real consiste en mejorar la ingesta y materialización de contenidos, mantener una superficie clara y ampliar el valor práctico de la base para trabajo institucional."
26.5,manual_ap_publisher,D,project,"Manual de una agrupación política que documenta identidad, valores, contexto y onboarding básico.","Este proyecto reúne y publica documentación de una agrupación política en la que participás, con foco en describir su identidad, sus valores, su contexto y algunos elementos de onboarding u orientación interna. Existe para volver más explícito y transmisible un marco político-organizativo que de otro modo quedaría distribuido en conversaciones o supuestos. Sigue activo porque puede ayudar a alinear identidad, facilitar incorporación y sostener memoria política del espacio. El progreso real se ve cuando el manual gana claridad, cobertura y utilidad real para orientar a personas dentro o cerca de la agrupación."
76,Data Science Career Commission Tracker,D,project,Planilla de observabilidad semántica sobre líneas de trabajo de la Comisión de Carrera de Ciencias de Datos.,"Este proyecto es una Google Sheet que mapea y da observabilidad a las líneas de trabajo de la Comisión de Carrera de Ciencias de Datos. La estructura organiza aproximadamente 35 líneas de trabajo mediante columnas como núcleo, título, dueño, descripción corta y links a recursos asociados. Los núcleos incluyen gobernanza, política de datos, comunicación, gestión académica, materias y contenidos, tesis, trabajos finales y tutores, y vinculación, extensión y graduados; mientras que los dueños posibles son secretaría o dirección, comisión de carrera, docentes, estudiantes o graduados. Sigue activo porque funciona como mapa semántico y superficie de seguimiento de áreas institucionales relevantes. El progreso real consiste en mejorar cobertura, claridad de las líneas, calidad de los links y utilidad de la hoja como instrumento de observación y coordinación."
E,Public Presence,,group,"Frente de proyectos orientado a transformar ideas, trayectoria y producción en superficies públicas legibles y sostenibles.","Este grupo reúne proyectos dedicados a construir presencia pública mediante narrativa, publicación, documentación de trayectoria y superficies web o editoriales. Su propósito es convertir experiencia, pensamiento y trabajo acumulado en piezas consultables que posicionen mejor tu perfil y permitan circulación más clara de tus ideas. Sigue activo porque la visibilidad pública bien estructurada puede amplificar oportunidades, autoridad y reutilización de trabajo ya hecho. El progreso real en este grupo se ve cuando las superficies se vuelven más coherentes, más navegables y más capaces de representar con precisión lo que hacés y por qué importa."
28,Political Narrative Framework,E,project,Marco para organizar y articular una narrativa política coherente a través de múltiples piezas y superficies.,"Este proyecto busca construir una estructura narrativa que ordene ideas, experiencias, diagnósticos y posicionamientos políticos en una forma más consistente y reutilizable. Existe para evitar que tu pensamiento político quede disperso en notas o impulsos aislados, y para permitir producción de contenido con mayor continuidad y dirección. Sigue activo porque una presencia política sólida requiere más que opiniones sueltas: necesita marco, lenguaje y líneas narrativas claras. El progreso real consiste en definir mejor ejes, producir piezas más coherentes entre sí y facilitar que esa narrativa se proyecte en blog, wiki u otras superficies."
24,Political wiki,E,project,"Wiki para organizar memoria, conceptos, episodios y marcos de lectura de tu trabajo político.","Este proyecto apunta a construir una base navegable donde ordenar ideas, conceptos, episodios, conflictos y aprendizajes ligados a tu experiencia política. Su motivación es crear una memoria estructurada que sirva tanto para reflexión como para escritura, análisis y eventual comunicación pública o semipública. Sigue activo porque gran parte de ese material tiene valor, pero se degrada si queda solo en notas dispersas o recuerdos sueltos. El progreso real se ve cuando la información queda mejor clasificada, más fácil de consultar y más lista para alimentar narrativa, documentos o decisiones."
78,Document past teaching experiences and publish institutionally,E,project,Proyecto para documentar experiencia docente pasada y convertirla en materiales institucionalmente publicables.,"Este proyecto busca recuperar, ordenar y presentar experiencias docentes previas en una forma que pueda ser útil tanto para memoria personal como para proyección institucional. Existe para que trabajo pedagógico valioso no quede implícito o invisibilizado, y para convertir experiencia acumulada en evidencia, relato o material reutilizable. Sigue activo porque puede fortalecer posicionamiento académico e institucional y facilitar futuras presentaciones o postulaciones. El progreso real consiste en reconstruir mejor experiencias, producir textos o materiales claros y publicarlos en superficies adecuadas."
25,Blog and Narrative Pipeline,E,project,"Pipeline editorial para convertir ideas, sesiones y materiales dispersos en publicaciones narrativas reutilizables.","Este proyecto organiza el flujo que va desde capturas, notas o materiales crudos hasta piezas publicables para blog u otras superficies narrativas. Su motivación es reducir la fricción entre pensar y publicar, y transformar acumulación de contenido en una línea editorial más sostenida. Sigue activo porque tenés mucho material valioso que solo genera impacto si entra en un pipeline de transformación y salida. El progreso real se ve cuando el pipeline produce piezas publicables con menor esfuerzo de reconstrucción y mantiene continuidad entre ideas, drafts y publicaciones."
38,Evaluar app (student Q&A),E,project,Aplicación ya desplegada que responde consultas estudiantiles sobre ejercicios usando un tutor basado en modelo de lenguaje.,"Este proyecto es una aplicación ya deployed, creada originalmente para la materia Algoritmos 3 de la carrera de Computación de la UBA, aunque su infraestructura puede adaptarse a otras materias cambiando el contenido. La app muestra ejercicios o páginas de guía y permite que estudiantes hagan consultas debajo de cada uno; luego un modelo de lenguaje recibe la consulta junto con el ejercicio y actúa como tutor, produciendo una respuesta. Sigue activa porque ya funciona, ya fue usada en un curso y además abre próximos pasos valiosos como aumentar adopción, difundirla y explotar o abrir la base de datos de interacciones recogidas. El progreso real se ve cuando aumenta su uso, mejora la experiencia de consulta y se aprovechan mejor los datos ya generados."
80,Portfolio site maintenance,E,project,Mantenimiento y mejora de la superficie pública que representa tu portfolio profesional y técnico.,"Este proyecto se ocupa de sostener y mejorar el sitio o superficie web donde presentás proyectos, experiencia y capacidades. Su motivación es que tu portfolio no quede desactualizado ni incoherente con el trabajo real que venís haciendo, y que funcione como una entrada clara a tu perfil. Sigue activo porque la representación pública de tu trabajo influye en oportunidades, credibilidad y facilidad de explicación frente a terceros. El progreso real se ve cuando la superficie está más actualizada, mejor alineada con tu trabajo vigente y más clara para visitantes externos."
F,Financial Systems,,group,"Frente de proyectos dedicado a modelar, automatizar y analizar sistemas financieros, contables y económicos.","Este grupo reúne proyectos que trabajan con contabilidad, reportes humanos, análisis económico y herramientas cuantitativas para entender y gobernar sistemas financieros. Su propósito es transformar datos, documentos y movimientos económicos en estructuras más claras, auditables y útiles para toma de decisiones. Sigue activo porque la calidad de estos sistemas impacta directamente en comprensión, comunicación y control de situaciones financieras complejas. El progreso real en este grupo se ve cuando los pipelines son más robustos, los reportes más legibles y los análisis más útiles para actuar."
22,Accounting Spine Live + Human Balance Storypack,F,project,Sistema central de contabilidad viva y reporting humano para explicar el estado económico a stakeholders.,"Este proyecto combina una columna vertebral contable operativa con una capa de reportes y narrativas humanas diseñadas para volver entendibles situaciones financieras complejas. Existe para llevar datos, movimientos y documentos hacia una estructura confiable y luego traducirlos en salidas legibles para discusión, control y decisión. Sigue activo porque el valor no está solo en calcular números, sino en producir una versión explicable y gobernable del sistema económico familiar o de negocio. El progreso real consiste en estabilizar la spine, mejorar calidad de datos y generar storypacks o reportes humanos cada vez más claros y útiles."
43,Economic Volatility Research Notebooks,F,project,Cuadernos de investigación para explorar fenómenos de volatilidad económica con herramientas cuantitativas.,"Este proyecto reúne notebooks y exploraciones orientadas a estudiar dinámica económica, volatilidad u otros fenómenos cuantitativos desde una perspectiva de investigación. Su motivación es disponer de un espacio flexible para probar ideas, modelos y visualizaciones antes de convertirlos en resultados más consolidados. Sigue activo porque conserva valor intelectual y puede servir como base para análisis más formales, papers o piezas aplicadas. El progreso real se ve cuando los notebooks dejan resultados interpretables, métodos mejor justificados y salidas que puedan conectarse con investigación o comunicación más estable."
G,Knowledge Layer,,group,"Capa de proyectos dedicada a ingestar, estructurar, publicar y consultar conocimiento de manera reutilizable.","Este grupo reúne los componentes que convierten chats, documentos, medios, sesiones y otros materiales en una base de conocimiento consultable, publicable y aprovechable por personas o agentes. Su propósito es evitar que el trabajo cognitivo quede atrapado en historiales o archivos sueltos y darle una forma más durable, recuperable y transformable. Sigue activo porque funciona como sustrato transversal para memoria, publicación, retrieval, resúmenes y automatización inteligente. El progreso real en este grupo se ve cuando los contratos son más claros, la ingesta más robusta y las superficies de consulta o publicación más útiles."
8,GPT Chats Ingest to Bus,G,project,Pipeline para transformar historiales de chats en eventos o registros integrables al bus de conocimiento.,"Este proyecto busca tomar conversaciones de ChatGPT u otras sesiones afines y llevarlas a una estructura compatible con tu ecosistema de buses y procesamiento de conocimiento. Existe para que esos chats no queden como islas cerradas, sino como materia prima reutilizable para resumen, clustering, búsqueda, publicación o memoria. Sigue activo porque gran parte de tu trabajo intelectual pasa por chats y capturas conversacionales, y perderlos como activos estructurados sería costoso. El progreso real consiste en mejorar la ingesta, preservar mejor contexto y producir registros suficientemente limpios para downstream."
10,KB September 2025 Sandbox,G,project,Sandbox experimental para probar ideas tempranas de knowledge base y procesamiento cognitivo.,"Compact KB ingest and analysis spine for chat JSONL and related corpora. Provides config, parser, processed-file state, SQLite embedding cache, Chroma integration, CLI wrappers, and run-recorded pipelines for ingest, analysis, and GROBID-based paper processing. Current bottleneck is operational hardening of the canonical ingest path: provider rate limits, store canonicalization, and cleanup of legacy dev-script sediment."
15,Digest Engine,G,project,"Motor para producir digests a partir de eventos, sesiones o materiales estructurados del ecosistema.","Digest and bagging pipeline for turning raw conversational logs and session JSONL into traceable Markdown/MDX digests, tag views, and publishable knowledge artifacts. Includes CLI, docs, unitization, pair/tag bag derivation, hydration, indexing, and publishing flows. Currently real but mixed: canonical pipeline code coexists with archived experiments, ad hoc outputs, and path drift, so the next unlock is to define the canonical product boundary and operating path."
11,Session Mining / Clustering,G,project,Herramientas para minar sesiones y agrupar trabajo cognitivo en clusters o buckets reutilizables.,"Este proyecto apunta a extraer estructura de sesiones, conversaciones o logs para agruparlas en temas, frentes o buckets más manejables. Existe para reducir caos en el historial de trabajo y facilitar reentrada, análisis y gobierno de grandes volúmenes de material cognitivo. Sigue activo porque la utilidad de tu journal, tus chats y tus sesiones depende en parte de poder encontrar patrones y agrupaciones útiles sin releer todo manualmente. El progreso real consiste en obtener clusters más interpretables, mejores criterios de agrupación y salidas que ayuden a gestión o recuperación."
13,KB Contracts,G,project,"Contratos canónicos para gobernar cómo entra, circula y se transforma el conocimiento en tu ecosistema.","Este proyecto define reglas, formatos y seams de integración para que distintos componentes de tu capa de conocimiento hablen el mismo idioma. Su motivación es evitar una proliferación de pipelines incompatibles, decisiones locales incoherentes y outputs difíciles de reutilizar. Sigue activo porque tu ecosistema creció lo suficiente como para necesitar contratos explícitos que ordenen inputs, outputs y responsabilidades. El progreso real se ve cuando más componentes respetan esos contratos y la integración entre sistemas de conocimiento requiere menos trabajo ad hoc."
19,Media-to-Text Pipeline,G,project,Pipeline para convertir contenido mediático en texto procesable por herramientas de análisis y conocimiento.,"Este proyecto transforma materiales provenientes de medios o formatos no textuales en texto utilizable para clasificación, búsqueda, resumen o incorporación a la base de conocimiento. Su motivación es ampliar el universo de fuentes que pueden entrar a tu ecosistema, evitando que audio, video u otras superficies queden fuera del procesamiento downstream. Sigue activo porque la inteligencia producida por tus sistemas mejora cuando más fuentes pueden entrar en forma tratable. El progreso real consiste en hacer la conversión más confiable, conservar mejor información útil y facilitar su integración con pipelines posteriores."
21,NER-to-Knowledge-Base Pipeline,G,project,Pipeline que usa reconocimiento de entidades para poblar o enriquecer la base de conocimiento.,"Este proyecto toma salidas de NER o extracción de entidades y las convierte en insumos útiles para construir o enriquecer estructuras de conocimiento. Existe para pasar de menciones sueltas en texto a objetos o relaciones más reutilizables dentro de tu ecosistema. Sigue activo porque la extracción semiestructurada de entidades puede acelerar mucho clasificación, linking y navegación del conocimiento. El progreso real se ve cuando las entidades son más limpias, el mapeo al modelo de KB es más claro y los resultados enriquecen de verdad la base downstream."
30,Quartz Dev Journal / Docusaurus Publication Infrastructure,G,project,Infraestructura de publicación para materializar journals y conocimiento en superficies navegables.,"Este proyecto reúne la capa de tooling, scripts y convenciones que permite publicar tu dev journal y otros materiales en superficies como Quartz o Docusaurus. Su motivación es convertir contenido acumulado en una publicación estable, navegable y mantenible, sin exigir reconstrucción manual permanente. Sigue activo porque la publicación es una pieza central para memoria, reentrada y visibilidad del trabajo realizado. El progreso real consiste en mejorar materialización, automatización, robustez de build y calidad de las superficies generadas."
32,AI Paper Chunker (RAG System - Nov 2025),G,project,Sistema para fragmentar papers y prepararlos como corpus utilizable por pipelines de retrieval y RAG.,"Este proyecto se centra en tomar papers académicos y convertirlos en chunks bien estructurados para búsqueda, embedding, resumen o retrieval asistido. Existe para que los documentos largos entren mejor en sistemas de consulta y procesamiento, y para sostener una plataforma de trabajo más escalable sobre literatura académica. Sigue activo porque el chunking de calidad condiciona fuertemente la utilidad del retrieval downstream. El progreso real se ve cuando los chunks preservan mejor sentido, la preparación del corpus es más robusta y el sistema soporta mejor consultas o análisis posteriores."
